team,year,new_coach
Pittsburgh,2017,Kevin Stallings
Portland,2017,Terry Porter
Rutgers,2017,Steve Pikiell
SMU,2017,Tim Jankovich
Saint Louis,2017,Travis Ford
San Francisco,2017,Kyle Smith
Santa Clara,2017,Herb Sendek
South Dakota St.,2017,T.J. Otzelberger
Southern Utah,2017,Todd Simon
Stanford,2017,Jerod Haase
Stephen F. Austin,2017,Kyle Keller
Stony Brook,2017,Jeff Boals
TCU,2017,Jamie Dixon
Tennessee Martin,2017,Anthony Stewart
Texas Tech,2017,Chris Beard
Tulane,2017,Mike Dunleavy
UAB,2017,Rob Ehsan
UCF,2017,Johnny Dawkins
UMBC,2017,Ryan Odom
UNLV,2017,Marvin Menzies
UT Rio Grande Valley,2017,Lew Hill
UTSA,2017,Steve Henson
Valparaiso,2017,Matt Lottich
Vanderbilt,2017,Bryce Drew
Western Kentucky,2017,Rick Stansbury
Wright St.,2017,Scott Nagy
Wyoming,2017,Allen Edwards
Akron,2018,John Groce
Alabama A&M,2018,Donnie Marsh
Arkansas St.,2018,Mike Balado
Austin Peay,2018,Matt Figger
Bethune Cookman,2018,Ryan Ridder
Butler,2018,LaVall Jordan
California,2018,Wyking Jones
Chattanooga,2018,Lamont Paris
Cleveland St.,2018,Dennis Felton
Coppin St.,2018,Juan Dixon
Dayton,2018,Anthony Grant
Drake,2018,Niko Medved
Duquesne,2018,Keith Dambrot
Eastern Washington,2018,Shantay Legans
Florida A&M,2018,Robert McCullum
Furman,2018,Bob Richey
Georgetown,2018,Patrick Ewing
Grambling St.,2018,Donte Jackson
Illinois,2018,Brad Underwood
Indiana,2018,Archie Miller
LIU Brooklyn,2018,Derek Kellogg
LSU,2018,Will Wade
Louisville,2018,David Padgett
Massachusetts,2018,Matt McCall
Miami OH,2018,Jack Owens
Milwaukee,2018,Pat Baldwin
Missouri,2018,Cuonzo Martin
Morehead St.,2018,Preston Spradlin
New Mexico,2018,Paul Weir
New Mexico St.,2018,Chris Jans
North Carolina St.,2018,Kevin Keatts
North Texas,2018,Grant McCasland
Ohio St.,2018,Chris Holtmann
Oklahoma St.,2018,Mike Boynton
Oral Roberts,2018,Paul Mills
Portland St.,2018,Barret Peery
Presbyterian,2018,Dustin Kerns
Quinnipiac,2018,Baker Dunleavy
Rice,2018,Scott Pera
San Diego St.,2018,Brian Dutcher
San Jose St.,2018,Jean Prioleau
Seattle,2018,Jim Hayford
South Florida,2018,Brian Gregory
Southern,2018,Morris Scott
UC Santa Barbara,2018,Joe Pasternack
UNC Wilmington,2018,C.B. McGrath
USC Upstate,2018,Kyle Perry
VCU,2018,Mike Rhoades
Washington,2018,Mike Hopkins
Youngstown St.,2018,Jerrod Calhoun
Alabama A&M,2019,Dylan Howart
Bryant,2019,Jared Grasso
Cal Baptist,2019,Rick Croy
Cal St. Northridge,2019,Mark Gottfried
Charlotte,2019,Ron Sanchez
Chicago St.,2019,Lance Irvin
Colorado St.,2019,Niko Medved
Connecticut,2019,Dan Hurley
Delaware St.,2019,Eric Skeeters
Detroit,2019,Mike Davis
Drake,2019,Darian DeVries
East Carolina,2019,Joe Dooley
Eastern Kentucky,2019,A.W. Hamilton
Evansville,2019,Walter McCarty
FIU,2019,Jeremy Ballard
Florida Atlantic,2019,Dusty May
Florida Gulf Coast,2019,Michael Fly
Fresno St.,2019,Justin Hutson
Georgia,2019,Tom Crean
High Point,2019,Tubby Smith
Incarnate Word,2019,Carson Cunningham
La Salle,2019,Ashley Howard
Little Rock,2019,Darrell Walker
Longwood,2019,Griff Aldrich
Louisville,2019,Chris Mack
Loyola MD,2019,Tavaras Hardy
Maine,2019,Richard Barron
Marist,2019,John Dunne
Maryland Eastern Shore,2019,Clifford Reed
McNeese St.,2019,Heath Schroyer
Memphis,2019,Penny Hardaway
Middle Tennessee,2019,Nicholas McDevitt
Mississippi,2019,Kermit Davis
Missouri St.,2019,Dana Ford
Mount St. Mary's,2019,Dan Engelstad
Nicholls St.,2019,Austin Claunch
North Alabama,2019,Tony Pujol
Pepperdine,2019,Lorenzo Romar
Pittsburgh,2019,Jeff Capel
Rhode Island,2019,David Cox
Saint Peter's,2019,Shaheen Holloway
San Diego,2019,Sam Scholl
Siena,2019,Jamion Christian
South Alabama,2019,Richie Riley
South Dakota,2019,Todd Lee
Southern,2019,Sean Woods
Tennessee St.,2019,Brian Collins
Texas Southern,2019,Johnny Jones
UC Riverside,2019,David Patrick
UCLA,2019,Murry Bartow
UNC Asheville,2019,Mike Morrell
USC Upstate,2019,Dave Dickerson
UT Arlington,2019,Chris Ogden
UTEP,2019,Rodney Terry
Utah St.,2019,Craig Smith
Western Carolina,2019,Mark Prosser
Xavier,2019,Travis Steele
Alabama,2020,Nate Oats
Appalachian St.,2020,Dustin Kerns
Arkansas,2020,Eric Musselman
BYU,2020,Mark Pope
Belmont,2020,Casey Alexander
Buffalo,2020,Jim Whitesell
Cal Poly,2020,John Smith
California,2020,Mark Fox
Cincinnati,2020,John Brannen
Cleveland St.,2020,Dennis Gates
Elon,2020,Mike Schrage
Evansville,2020,Todd Lickliter
Fairfield,2020,Jay Young
George Washington,2020,Jamion Christian
Georgia St.,2020,Rob Lanier
Holy Cross,2020,Brett Nelson
Howard,2020,Kenny Blakeney
IUPUI,2020,Byron Rimm
Idaho,2020,Zac Claus
Idaho St.,2020,Ryan Looney
Kennesaw St.,2020,Amir Abdur-Rahim
Lipscomb,2020,Lennie Acuff
Maryland Eastern Shore,2020,Jason Crafton
Mercer,2020,Greg Gary
Merrimack,2020,Joe Gallo
Michigan,2020,Juwan Howard
Mississippi Valley St.,2020,Lindsey Hunter
Montana St.,2020,Danny Sprinkle
Morgan St.,2020,Kevin Broadus
Nebraska,2020,Fred Hoiberg
Nevada,2020,Steve Alford
Niagara,2020,Greg Paulus
North Carolina A&T,2020,Will Jones
North Dakota,2020,Paul Sather
Northern Arizona,2020,Shane Burcar
Northern Kentucky,2020,Darrin Horn
Ohio,2020,Jeff Boals
Presbyterian,2020,Quinton Ferrell
SIU Edwardsville,2020,Brian Barone
Saint Joseph's,2020,Billy Lange
San Francisco,2020,Todd Golden
Siena,2020,Carmen Marciariello
South Dakota St.,2020,Eric Henderson
Southeastern Louisiana,2020,David Kiefer
Southern Illinois,2020,Bryan Mullins
Southern Miss,2020,Jay Ladner
St. John's,2020,Mike Anderson
Stetson,2020,Donnie Jones
Stony Brook,2020,Geno Ford
Temple,2020,Aaron McKie
Tennessee Tech,2020,John Pelphrey
Texas A&M,2020,Buzz Williams
Troy,2020,Scott Cross
Tulane,2020,Ron Hunter
UCLA,2020,Mick Cronin
UMKC,2020,Billy Donlon
UNLV,2020,T.J. Otzelberger
Utah Valley,2020,Mark Madsen
Vanderbilt,2020,Jerry Stackhouse
Virginia Tech,2020,Mike Young
Washington St.,2020,Kyle Smith
William & Mary,2020,Dane Fischer
Wofford,2020,Jay McAuley
Air Force,2021,Joe Scott
Alabama St.,2021,Mo Williams
Alcorn St.,2021,Landon Bussie
Bellarmine,2021,Scott Davenport
Central Arkansas,2021,Anthony Boone
East Tennessee St.,2021,Jason Shay
Georgia Southern,2021,Brian Burg
Grand Canyon,2021,Bryce Drew
Green Bay,2021,Will Ryan
Hofstra,2021,Mike Farrelly
Illinois Chicago,2021,Luke Yaklich
Iona,2021,Rick Pitino
James Madison,2021,Mark Byington
Loyola Marymount,2021,Stan Johnson
Northern Colorado,2021,Steve Smiley
Northern Illinois,2021,Lamar Chapman
Penn St.,2021,Jim Ferry
Samford,2021,Bucky McMillan
Southeast Missouri St.,2021,Brad Korn
Tarleton St.,2021,Billy Gillespie
Tennessee Martin,2021,Montez Robinson
Texas St.,2021,Terrence Johnson
UAB,2021,Andy Kennedy
UC Riverside,2021,Mike Magpayo
UC San Diego,2021,Eric Olen
UNC Wilmington,2021,Takayo Siddle
Utah Tech,2021,Jon Judkins
Wake Forest,2021,Steve Forbes
Western Illinois,2021,Rob Jeter
Western Michigan,2021,Clayton Bates
Wichita St.,2021,Isaac Brown
Wyoming,2021,Jeff Linder
Abilene Christian,2022,Brette Tanner
Albany,2022,Dwayne Killings
Arizona,2022,Tommy Lloyd
Arkansas Pine Bluff,2022,Solomon Bozeman
Austin Peay,2022,Nate James
Bethune Cookman,2022,Reggie Theus
Binghamton,2022,Levell Sanders
Boston College,2022,Earl Grant
Central Connecticut,2022,Patrick Sellers
Central Michigan,2022,Tony Barbee
Chicago St.,2022,Gerald Gillian
Cincinnati,2022,Wes Miller
College of Charleston,2022,Pat Kelsey
DePaul,2022,Tony Stubblefield
Delaware St.,2022,Stan Waterman
Denver,2022,Jeff Wulbrun
East Tennessee St.,2022,Desmond Oliver
Eastern Illinois,2022,Marty Simmons
Eastern Michigan,2022,Stan Heath
Eastern Washington,2022,David Riley
Fordham,2022,Kyle Neptune
George Mason,2022,Kim English
Hofstra,2022,Speedy Claxton
IUPUI,2022,Matt Crenshaw
Indiana,2022,Mike Woodson
Indiana St.,2022,Josh Schertz
Iowa St.,2022,T.J. Otzelberger
Jacksonville,2022,Jordan Mincy
Lamar,2022,Alvin Brooks
Loyola Chicago,2022,Drew Valentine
Marquette,2022,Shaka Smart
Maryland,2022,Danny Manning
McNeese St.,2022,John Aiken
Minnesota,2022,Ben Johnson
New Mexico,2022,Richard Pitino
North Carolina,2022,Hubert Davis
Northern Illinois,2022,Rashon Burno
Oklahoma,2022,Porter Moser
Pacific,2022,Leonard Perry
Penn St.,2022,Micah Shrewsberry
Portland,2022,Shantay Legans
Portland St.,2022,Jase Coburn
Radford,2022,Darris Nichols
Sacramento St.,2022,Brandon Laird
San Jose St.,2022,Tim Miles
Seattle,2022,Chris Victor
South Carolina St.,2022,Tony Madlock
St. Thomas,2022,Johnny Tauer
Tennessee Martin,2022,Ryan Ridder
Texas,2022,Chris Beard
Texas A&M Corpus Chris,2022,Steve Lutz
Texas Tech,2022,Mark Adams
UMBC,2022,Jim Ferry
UNC Greensboro,2022,Mike Jones
UNLV,2022,Kevin Kruger
UT Arlington,2022,Greg Young
UT Rio Grande Valley,2022,Matt Figger
UTEP,2022,Joe Golding
Utah,2022,Craig Smith
Utah St.,2022,Ryan Odom
Western Carolina,2022,Justin Gray
Winthrop,2022,Mark Prosser
Alabama A&M,2023,Otis Hughley Jr.
Alabama St.,2023,Tony Madlock
Ball St.,2023,Mike Lewis
Butler,2023,Thad Matta
Cal St. Northridge,2023,Trent Johnson
Chattanooga,2023,Dan Earl
Cleveland St.,2023,Daniyal Robinson
Davidson,2023,Matt McKillop
Duke,2023,Jon Scheyer
East Carolina,2023,Mike Schwartz
Elon,2023,Billy Taylor
Evansville,2023,David Ragland
Fairleigh Dickinson,2023,Tobin Anderson
Florida,2023,Todd Golden
Florida Gulf Coast,2023,Patrick Chambers
Fordham,2023,Keith Urgo
George Washington,2023,Chris Caputo
Georgia,2023,Michael White
Georgia St.,2023,Jonas Hayes
High Point,2023,G.G. Smith
Illinois St.,2023,Ryan Pedon
Jackson St.,2023,Mo Williams
Kansas St.,2023,Jerome Tang
LIU Brooklyn,2023,Rod Strickland
LSU,2023,Matt McMahon
La Salle,2023,Fran Dunphy
Lafayette,2023,Mike Jordan
Lindenwood,2023,Kyle Gerdeman
Louisiana Tech,2023,Talvin Hester
Louisville,2023,Kenny Payne
Maine,2023,Chris Markwood
Manhattan,2023,RaShawn Stores
Maryland,2023,Kevin Willard
Massachusetts,2023,Frank Martin
Miami OH,2023,Travis Steele
Milwaukee,2023,Bart Lundy
Mississippi St.,2023,Chris Jans
Mississippi Valley St.,2023,George Ivory
Missouri,2023,Dennis Gates
Murray St.,2023,Steve Prohm
Nebraska Omaha,2023,Chris Crutchfield
New Mexico St.,2023,Greg Heiar
North Carolina A&T,2023,Phillip Shumpert
Northwestern St.,2023,Corey Gipson
Queens,2023,Grant Leonard
Rhode Island,2023,Archie Miller
SMU,2023,Rob Lanier
Sacramento St.,2023,David Patrick
Saint Peter's,2023,Bashir Mason
San Diego,2023,Steve Lavin
San Francisco,2023,Chris Gerlufsen
Seton Hall,2023,Shaheen Holloway
South Carolina,2023,Lamont Paris
South Carolina St.,2023,Erik Martin
South Dakota,2023,Eric Peterson
Southern Indiana,2023,Stan Gouard
Stonehill,2023,Chris Kraus
Texas,2023,Rodney Terry
Texas A&M Commerce,2023,Jaret von Rosenberg
The Citadel,2023,Ed Conroy
Tulsa,2023,Eric Konkol
UMKC,2023,Marvin Menzies
VMI,2023,Andrew Wilson
Villanova,2023,Kyle Neptune
Wagner,2023,Donald Copeland
Weber St.,2023,Eric Duft
Western Michigan,2023,Dwayne Stephens
Wofford,2023,Dwight Perry
Xavier,2023,Sean Miller
American,2024,Duane Simpkins
Arkansas St.,2024,Brian Hodgson
Army,2024,Kevin Kuwik
Austin Peay,2024,Corey Gipson
Bowling Green,2024,Todd Simon
Bryant,2024,Phil Martelli Jr.
Bucknell,2024,John Griffin
Buffalo,2024,George Halcovage
Cal St. Northridge,2024,Andy Newman
California,2024,Mark Madsen
Charleston Southern,2024,Saah Nimley
Charlotte,2024,Aaron Fearne
Coastal Carolina,2024,Benny Moss
Coppin St.,2024,Larry Stewart
East Tennessee St.,2024,Brooks Savage
Fairfield,2024,Chris Casey
Fairleigh Dickinson,2024,Jack Castleberry
George Mason,2024,Tony Skinn
Georgetown,2024,Ed Cooley
Georgia Southern,2024,Charlie Henry
